Gender,Year of Birth,Count
FEMALE,2016,172
FEMALE,2016,112
FEMALE,2016,104
FEMALE,2016,99
FEMALE,2016,99
FEMALE,2016,79
FEMALE,2016,59
FEMALE,2016,57
FEMALE,2016,56
FEMALE,2016,56
FEMALE,2016,54
FEMALE,2016,54
FEMALE,2016,53
FEMALE,2016,49
FEMALE,2016,44
FEMALE,2016,42
FEMALE,2016,42
FEMALE,2016,42
FEMALE,2016,40
FEMALE,2016,39
FEMALE,2016,39
FEMALE,2016,35
FEMALE,2016,34
FEMALE,2016,34
FEMALE,2016,34
FEMALE,2016,34
FEMALE,2016,33
FEMALE,2016,32
FEMALE,2016,32
FEMALE,2016,31
FEMALE,2016,31
FEMALE,2016,30
FEMALE,2016,30
FEMALE,2016,30
FEMALE,2016,29
FEMALE,2016,29
FEMALE,2016,29
FEMALE,2016,28
FEMALE,2016,28
FEMALE,2016,28
FEMALE,2016,28
FEMALE,2016,27
FEMALE,2016,27
FEMALE,2016,27
FEMALE,2016,26
FEMALE,2016,26
FEMALE,2016,26
FEMALE,2016,26
FEMALE,2016,26
FEMALE,2016,25
FEMALE,2016,25
FEMALE,2016,25
FEMALE,2016,25
FEMALE,2016,24
FEMALE,2016,24
FEMALE,2016,24
FEMALE,2016,24
FEMALE,2016,24
FEMALE,2016,23
FEMALE,2016,23
FEMALE,2016,23
FEMALE,2016,23
FEMALE,2016,23
FEMALE,2016,23
FEMALE,2016,23
FEMALE,2016,22
FEMALE,2016,21
FEMALE,2016,21
FEMALE,2016,21
FEMALE,2016,21
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,20
FEMALE,2016,19
FEMALE,2016,19
FEMALE,2016,19
FEMALE,2016,19
FEMALE,2016,19
FEMALE,2016,19
FEMALE,2016,18
FEMALE,2016,18
FEMALE,2016,18
FEMALE,2016,18
FEMALE,2016,18
FEMALE,2016,18
FEMALE,2016,17
FEMALE,2016,17
FEMALE,2016,17
FEMALE,2016,17
FEMALE,2016,17
FEMALE,2016,17
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,16
FEMALE,2016,15
FEMALE,2016,15
FEMALE,2016,15
FEMALE,2016,15
FEMALE,2016,15
FEMALE,2016,15
FEMALE,2016,15
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,14
FEMALE,2016,13
FEMALE,2016,13
FEMALE,2016,13
FEMALE,2016,13
FEMALE,2016,13
FEMALE,2016,13
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,12
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,11
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,10
FEMALE,2016,109
FEMALE,2016,104
FEMALE,2016,68
FEMALE,2016,65
FEMALE,2016,57
FEMALE,2016,54
FEMALE,2016,51
FEMALE,2016,49
FEMALE,2016,48
FEMALE,2016,48
FEMALE,2016,46
FEMALE,2016,45
FEMALE,2016,44
FEMALE,2016,43
FEMALE,2016,41
FEMALE,2016,41
FEMALE,2016,40
FEMALE,2016,38
FEMALE,2016,38
FEMALE,2016,37
FEMALE,2016,37
FEMALE,2016,37
FEMALE,2016,36
FEMALE,2016,35
FEMALE,2016,35
FEMALE,2016,35
FEMALE,2016,34
FEMALE,2016,34
FEMALE,2016,34
FEMALE,2016,33
FEMALE,2016,33
FEMALE,2016,33
FEMALE,2016,33
FEMALE,2016,32
FEMALE,2016,32
FEMALE,2016,32
FEMALE,2016,32
FEMALE,2016,32
FEMALE,2016,31
FEMALE,2016,30
FEMALE,2016,30
FEMALE,2016,30
FEMALE,2016,30
